city,country,year,city,country,avg_temp
San Jose,United States,1849,San Jose,United States,14.12
San Jose,United States,1850,San Jose,United States,13.80
San Jose,United States,1851,San Jose,United States,14.39
San Jose,United States,1852,San Jose,United States,13.81
San Jose,United States,1853,San Jose,United States,14.40
San Jose,United States,1854,San Jose,United States,13.98
San Jose,United States,1855,San Jose,United States,14.20
San Jose,United States,1856,San Jose,United States,14.10
San Jose,United States,1857,San Jose,United States,14.78
San Jose,United States,1858,San Jose,United States,14.19
San Jose,United States,1859,San Jose,United States,13.71
San Jose,United States,1860,San Jose,United States,13.81
San Jose,United States,1861,San Jose,United States,14.88
San Jose,United States,1862,San Jose,United States,14.43
San Jose,United States,1863,San Jose,United States,14.43
San Jose,United States,1864,San Jose,United States,15.18
San Jose,United States,1865,San Jose,United States,14.32
San Jose,United States,1866,San Jose,United States,14.67
San Jose,United States,1867,San Jose,United States,14.46
San Jose,United States,1868,San Jose,United States,14.25
San Jose,United States,1869,San Jose,United States,14.57
San Jose,United States,1870,San Jose,United States,14.19
San Jose,United States,1871,San Jose,United States,14.34
San Jose,United States,1872,San Jose,United States,14.63
San Jose,United States,1873,San Jose,United States,14.46
San Jose,United States,1874,San Jose,United States,14.09
San Jose,United States,1875,San Jose,United States,14.76
San Jose,United States,1876,San Jose,United States,14.44
San Jose,United States,1877,San Jose,United States,15.03
San Jose,United States,1878,San Jose,United States,14.37
San Jose,United States,1879,San Jose,United States,14.20
San Jose,United States,1880,San Jose,United States,13.22
San Jose,United States,1881,San Jose,United States,14.39
San Jose,United States,1882,San Jose,United States,13.58
San Jose,United States,1883,San Jose,United States,13.93
San Jose,United States,1884,San Jose,United States,14.05
San Jose,United States,1885,San Jose,United States,15.05
San Jose,United States,1886,San Jose,United States,14.58
San Jose,United States,1887,San Jose,United States,14.38
San Jose,United States,1888,San Jose,United States,14.70
San Jose,United States,1889,San Jose,United States,14.81
San Jose,United States,1890,San Jose,United States,14.05
San Jose,United States,1891,San Jose,United States,14.46
San Jose,United States,1892,San Jose,United States,14.05
San Jose,United States,1893,San Jose,United States,13.40
San Jose,United States,1894,San Jose,United States,13.80
San Jose,United States,1895,San Jose,United States,13.95
San Jose,United States,1896,San Jose,United States,14.22
San Jose,United States,1897,San Jose,United States,13.81
San Jose,United States,1898,San Jose,United States,13.77
San Jose,United States,1899,San Jose,United States,14.04
San Jose,United States,1900,San Jose,United States,14.64
San Jose,United States,1901,San Jose,United States,14.34
San Jose,United States,1902,San Jose,United States,14.07
San Jose,United States,1903,San Jose,United States,14.12
San Jose,United States,1904,San Jose,United States,14.50
San Jose,United States,1905,San Jose,United States,14.39
San Jose,United States,1906,San Jose,United States,14.81
San Jose,United States,1907,San Jose,United States,14.34
San Jose,United States,1908,San Jose,United States,14.01
San Jose,United States,1909,San Jose,United States,14.05
San Jose,United States,1910,San Jose,United States,14.17
San Jose,United States,1911,San Jose,United States,13.46
San Jose,United States,1912,San Jose,United States,13.95
San Jose,United States,1913,San Jose,United States,14.38
San Jose,United States,1914,San Jose,United States,14.33
San Jose,United States,1915,San Jose,United States,14.30
San Jose,United States,1916,San Jose,United States,13.61
San Jose,United States,1917,San Jose,United States,14.06
San Jose,United States,1918,San Jose,United States,14.14
San Jose,United States,1919,San Jose,United States,13.60
San Jose,United States,1920,San Jose,United States,13.72
San Jose,United States,1921,San Jose,United States,14.24
San Jose,United States,1922,San Jose,United States,13.61
San Jose,United States,1923,San Jose,United States,14.13
San Jose,United States,1924,San Jose,United States,14.10
San Jose,United States,1925,San Jose,United States,14.34
San Jose,United States,1926,San Jose,United States,15.14
San Jose,United States,1927,San Jose,United States,14.24
San Jose,United States,1928,San Jose,United States,14.32
San Jose,United States,1929,San Jose,United States,14.25
San Jose,United States,1930,San Jose,United States,14.25
San Jose,United States,1931,San Jose,United States,14.93
San Jose,United States,1932,San Jose,United States,14.24
San Jose,United States,1933,San Jose,United States,13.93
San Jose,United States,1934,San Jose,United States,15.31
San Jose,United States,1935,San Jose,United States,14.12
San Jose,United States,1936,San Jose,United States,15.13
San Jose,United States,1937,San Jose,United States,14.36
San Jose,United States,1938,San Jose,United States,14.35
San Jose,United States,1939,San Jose,United States,14.81
San Jose,United States,1940,San Jose,United States,15.12
San Jose,United States,1941,San Jose,United States,14.98
San Jose,United States,1942,San Jose,United States,14.20
San Jose,United States,1943,San Jose,United States,14.72
San Jose,United States,1944,San Jose,United States,14.17
San Jose,United States,1945,San Jose,United States,14.41
San Jose,United States,1946,San Jose,United States,13.83
San Jose,United States,1947,San Jose,United States,14.51
San Jose,United States,1948,San Jose,United States,13.65
San Jose,United States,1949,San Jose,United States,13.90
San Jose,United States,1950,San Jose,United States,14.66
San Jose,United States,1951,San Jose,United States,14.06
San Jose,United States,1952,San Jose,United States,14.11
San Jose,United States,1953,San Jose,United States,14.42
San Jose,United States,1954,San Jose,United States,14.18
San Jose,United States,1955,San Jose,United States,13.74
San Jose,United States,1956,San Jose,United States,14.08
San Jose,United States,1957,San Jose,United States,14.59
San Jose,United States,1958,San Jose,United States,15.41
San Jose,United States,1959,San Jose,United States,15.39
San Jose,United States,1960,San Jose,United States,14.59
San Jose,United States,1961,San Jose,United States,14.65
San Jose,United States,1962,San Jose,United States,14.22
San Jose,United States,1963,San Jose,United States,14.19
San Jose,United States,1964,San Jose,United States,14.24
San Jose,United States,1965,San Jose,United States,14.14
